                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.78605,                0.78511,                 1.1388,                0.88723,                0.91667,                0.88236,                0.36321,                 1.8174,                 1.9701,                 2.7689,              0.0008318,              0.0008318,              0.0008318
                     61,                0.83428,                 0.8231,                 1.1788,                0.88723,                0.91667,                0.88236,                0.36321,                 1.8174,                 1.9701,                 2.7689,               0.000812,               0.000812,               0.000812
                     62,                0.79255,                0.80562,                 1.1715,                0.88107,                0.83333,                0.82818,                 0.3498,                 1.7888,                 1.8502,                 2.6888,              0.0007922,              0.0007922,              0.0007922
                     63,                0.79784,                0.80094,                 1.2118,                 0.9679,                0.91667,                0.91556,                0.40505,                  1.762,                 1.8096,                 2.5591,              0.0007724,              0.0007724,              0.0007724
                     64,                0.71839,                0.71947,                 1.1286,                0.95617,                0.91667,                0.91549,                0.41442,                 1.6812,                 1.7374,                 2.3975,              0.0007526,              0.0007526,              0.0007526
                     65,                0.82737,                0.82258,                 1.2768,                0.95617,                0.91667,                0.91549,                0.41442,                 1.6812,                 1.7374,                 2.3975,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.8832,                0.87313,                 1.2502,                0.88849,                0.91667,                0.89457,                 0.3948,                 1.6766,                 1.5938,                 2.2538,               0.000713,               0.000713,               0.000713
                     67,                0.80595,                0.86126,                 1.1997,                0.89644,                0.91667,                0.87383,                0.35908,                 1.8118,                 1.6554,                 2.3051,              0.0006932,              0.0006932,              0.0006932
                     68,                0.93778,                0.99811,                 1.3339,                0.90505,                0.91667,                 0.8593,                0.34711,                 1.9336,                  1.533,                 2.5773,              0.0006734,              0.0006734,              0.0006734
                     69,                0.91567,                0.85221,                 1.2421,                0.90505,                0.91667,                 0.8593,                0.34711,                 1.9336,                  1.533,                 2.5773,              0.0006536,              0.0006536,              0.0006536
                     70,                0.75364,                0.74651,                 1.1756,                0.90537,                0.91667,                 0.8668,                0.36319,                 1.9068,                 1.5029,                 2.5553,              0.0006338,              0.0006338,              0.0006338
                     71,                 0.7333,                0.74775,                  1.152,                0.90431,                0.91667,                 0.8593,                0.34481,                 1.9408,                 1.2883,                 2.7402,               0.000614,               0.000614,               0.000614
                     72,                 0.8155,                0.91859,                  1.373,                0.87586,                0.91667,                0.85292,                0.29046,                 2.0277,                 1.2803,                 2.6931,              0.0005942,              0.0005942,              0.0005942
                     73,                0.76324,                0.75712,                 1.1618,                0.87586,                0.91667,                0.85292,                0.29046,                 2.0277,                 1.2803,                 2.6931,              0.0005744,              0.0005744,              0.0005744
                     74,                0.79377,                0.73956,                 1.1504,                0.82442,                0.83333,                0.76089,                 0.3114,                 2.0355,                 1.2734,                 2.7524,              0.0005546,              0.0005546,              0.0005546
                     75,                0.76733,                0.76114,                  1.131,                  0.908,                0.91667,                0.90133,                0.37458,                 1.9922,                 1.2288,                 2.6538,              0.0005348,              0.0005348,              0.0005348
                     76,                0.80075,                0.75133,                 1.1211,                0.89192,                0.83333,                0.77562,                0.43679,                 1.7479,                 1.1141,                 2.4519,               0.000515,               0.000515,               0.000515
                     77,                0.65808,                0.70794,                 1.1358,                0.89192,                0.83333,                0.77562,                0.43679,                 1.7479,                 1.1141,                 2.4519,              0.0004952,              0.0004952,              0.0004952
                     78,                0.76994,                0.74649,                  1.163,                0.91549,                0.90373,                0.85232,                0.44327,                 1.6879,                 1.0714,                 2.3967,              0.0004754,              0.0004754,              0.0004754
                     79,                0.70942,                0.75076,                  1.143,                      1,                0.99117,                  0.995,                0.46566,                 1.6665,                 1.0374,                 2.3713,              0.0004556,              0.0004556,              0.0004556
